,Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,Variety
541,Montrachet Grand Cru Marquis de Laguiche 2017,France,Montrachet Grand Cru,Joseph Drouhin,4.9,34.0,681.37,2017,
3747,Beckstoffer Las Piedras Vineyard Cabernet Sauvignon 2015,United States,St. Helena,Paul Hobbs,4.8,30.0,368.47,2015,
8086,Veneto Alzero Cabernet 2009,Italy,Veneto,Quintarelli Giuseppe,4.8,85.0,324.95,2009,
8073,Toscana 2016,Italy,Toscana,Masseto,4.8,85.0,960.17,2016,
3420,G 2015,South Africa,Western Cape,4G Wine Estate,4.8,28.0,463.03,2015,
4031,L'Ermita Velles Vinyes Priorat 2008,Spain,Priorat,Álvaro Palacios,4.8,32.0,672.6,2008,
1010,Ermitage de l'Orée 2004,France,Hermitage,M. Chapoutier,4.8,44.0,189.95,2004,
951,Barolo Riserva Monfortino 2013,Italy,Barolo,Giacomo Conterno,4.8,132.0,1115.5,2013,
77,Garrus Rosé 2018,France,Côtes de Provence,Château d'Esclans,4.8,36.0,109.0,2018,
6352,Unico Reserva Especial Edición 2006,Spain,Ribera del Duero,Vega Sicilia,4.7,55.0,568.4,2006,
7971,Unico 2009,Spain,Ribera del Duero,Vega Sicilia,4.7,824.0,320.71,2009,
8554,Margaux (Grand Cru Classé) 2005,France,Margaux,Château Palmer,4.7,964.0,316.95,2005,
873,Unico 2010,Spain,Ribera del Duero,Vega Sicilia,4.7,129.0,320.0,2010,
1207,The Wine Collection Sauvignon 2016,Italy,Südtirol - Alto Adige,St. Michael-Eppan,4.7,50.0,142.01,2016,
253,Promontory 2013,United States,Napa Valley,Promontory,4.7,107.0,721.34,2013,
4446,Diesel Pinotage 2017,South Africa,Stellenbosch,Beyerskloof,4.7,35.0,63.0,2017,
892,Cristal Brut Champagne (Millésimé) 2002,France,Champagne,Louis Roederer,4.7,2607.0,363.75,2002,
6883,Toscana 2011,Italy,Toscana,Masseto,4.7,628.0,965.15,2011,
2344,Pomerol 2012,France,Pomerol,Pétrus,4.7,204.0,3410.79,2012,
7313,Saint-Julien (Grand Cru Classé) 2009,France,Saint-Julien,Château Ducru-Beaucaillou,4.7,699.0,339.0,2009,
6214,Sassicaia 2009,Italy,Bolgheri Sassicaia,Tenuta San Guido,4.7,5308.0,329.0,2009,
905,Amarone della Valpolicella Monte Lodoletta 2012,Italy,Amarone della Valpolicella,Dal Forno Romano,4.7,130.0,270.63,2012,
2381,Amarone della Valpolicella Classico 2011,Italy,Amarone della Valpolicella Classico,Quintarelli Giuseppe,4.7,207.0,272.25,2011,
5047,Pessac-Léognan (Premier Grand Cru Classé) 2009,France,Pessac-Léognan,Château Haut-Brion,4.7,401.0,955.3,2009,
2224,Veneto Alzero Cabernet 2005,Italy,Veneto,Quintarelli Giuseppe,4.7,196.0,383.15,2005,
4791,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2013,France,Saint-Émilion Grand Cru,Château Ausone,4.7,38.0,575.13,2013,
3356,Sassicaia 2006,Italy,Bolgheri Sassicaia,Tenuta San Guido,4.7,2767.0,632.64,2006,
